Name,Ingredients,Method
The Last Light,1½ oz Highland Gin; ¾ oz elderflower liqueur; ¾ oz lemon juice; Sparkling Water,"Shake gin, liqueur, and lemon. Strain into flute or coupe. Top with sparkling water."
Rosé Spritz,3 oz Estate Rosé; 2 oz Sparkling Water; 1 oz Blood Orange,Build over ice in wine glass. Stir gently.
Starlight Royale,5 oz Starlight & Steel Sparkling; 1 bar spoon honey; 2 dashes Orange Bitters,Add honey and bitters to flute. Top slowly with sparkling wine.
Still Small Spritz,3 oz Chardonnay; 2 oz Elderflower Tonic; cucumber; mint,"Build over ice. Add cucumber, top with tonic. Garnish with mint."
Radio Silence Sangria,1 bottle Red Blend; 2 oz honey; 4 oz Blood Orange; Seasonal fruit; Cinnamon,"Steep wine, honey, and fruit 4+ hours. Serve over ice topped with blood orange soda."
Tuscan Spritz,3 oz Chianti; 2 oz Ginger Ale; Rosemary sprig,Build over ice in wine glass. Top with ginger ale. Add slapped rosemary.
Sparkling Lemon Drop,3 oz Starlight & Steel Sparkling; ½ oz lemon juice; ¼ oz simple syrup; 1 oz Lemon,Shake lemon and syrup. Strain into flute. Top with sparkling wine and lemon soda.
Rosé Paloma,3 oz Estate Rosé; 1 oz grapefruit juice; 1 oz Club Soda; Smoked Salt rim,Rim glass with salt. Build over ice. Top with club soda.
Chardonnay Ginger Fizz,3 oz Chardonnay; 2 oz Ginger Beer; Lemon zest,Build over ice. Top with ginger beer. Add lemon zest.
Wake Up Call,6 oz Cola; 1 cooled espresso shot; Lemon zest,Pour espresso over ice. Top slowly with cola. Express lemon zest.
Cherry Float,8 oz Cream Soda; 1 scoop vanilla gelato; 1 squeezed cherry,Place gelato in glass. Squeeze cherry over top. Top slowly with cream soda.
Golden Child,5 oz Ginger Beer; 2 oz blood orange juice; Lemon zest,Pour juice over ice. Top with ginger beer. Express lemon zest.
Limestone Spritz,4 oz Blood Orange; 2 oz Aromatic Tonic; Rosemary,Build over ice. Add slapped rosemary.
The Stillwater,6 oz Elderflower Tonic; ½ oz Tonic Syrup; Cucumber; Mint,Muddle cucumber and mint. Add ice and syrup. Top with tonic.
Porch Swing,6 oz Lemon; 1 bar spoon honey; 4 mint leaves; ½ oz lemon juice,Dissolve honey in lemon juice. Add ice and mint. Top with lemon soda.
Root Beer Float,8 oz Root Beer; 2 scoops vanilla ice cream,Place ice cream in glass. Top slowly with root beer.
Bitter Sunset,5 oz Bitter Lemon; 1 oz grapefruit juice; ¼ oz Tonic Syrup; Smoked Salt rim,Rim glass with salt. Combine juice and syrup. Top with bitter lemon.
Ginger Highball,6 oz Ginger Ale; ½ oz lime juice; Mint; 1 dash Bitters,Build over ice. Add lime and ginger ale. Float bitters and add mint.
Sparkling Honey Lemon,6 oz Sparkling Water; 1 tsp honey; ½ oz lemon juice; pinch Smoked Salt,Dissolve honey in lemon juice and salt. Add ice. Top with sparkling water.
Cola Lime Cooler,4 oz Cola; 2 oz Club Soda; 1 oz lime juice,Add lime and cola to ice. Top with club soda.
Cream & Orange,4 oz Cream Soda; 4 oz Blood Orange,Build over crushed ice. Layer cream soda over blood orange using a spoon.
The Architect,2 oz Vodka; 1 oz blackberry puree; ¾ oz lemon juice; 2 oz Ginger Beer,"Shake vodka, puree, and lemon. Strain over crushed ice. Top with ginger beer."
Botanical Garden,2 oz Gin; ¾ oz grapefruit juice; ½ oz simple syrup; 3 basil leaves; Splash of Tonic,"Muddle basil. Add gin, grapefruit, and syrup. Shake hard. Strain over fresh ice. Top with tonic."
The Journeyman,2 oz Aged Rum; ½ oz cold brew coffee; ¼ oz maple syrup; 2 dashes Orange Bitters,Stir all ingredients with ice for 20 rotations. Serve over a large cube with an orange peel.
Bluegrass Botanical,2 oz Vodka; ¾ oz elderflower liqueur; ½ oz lime juice; cucumber slice; black pepper,"Muddle cucumber. Shake with vodka, liqueur, and lime. Strain into a coupe. Garnish with cracked black pepper."
Appalachian Smoke,2 oz Blanco Tequila; ½ oz Mezcal; ¾ oz lime juice; ½ oz smoked honey syrup,"Shake all ingredients with ice. Strain into a rocks glass over fresh ice. Garnish with a lime wheel."
The Plumb Line,2 oz Bourbon; 1 tbsp plum jam; ¾ oz lemon juice; 2 dashes Aromatic Bitters,"Shake bourbon, jam, lemon, and bitters vigorously. Double strain into a chilled coupe."
Sunset Over Frankfort,1 oz Bourbon; 1 oz Aperol; ¾ oz lemon juice; 2 oz grapefruit soda,"Shake bourbon, Aperol, and lemon. Strain into a Collins glass over ice. Top with grapefruit soda."
Spiced Pear Smash,2 oz Vodka; 1 oz pear nectar; ½ oz lemon juice; pinch of cinnamon,"Shake all ingredients with ice. Strain into a rocks glass. Garnish with a cinnamon stick."
